"Symbol","Security","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"AWK","American Water Works","Utilities","Water Utilities","Camden, New Jersey","2016-03-04",1410636,"1886",2025-12-11
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","2005-10-03",820027,"1894",2025-12-11
"AME","Ametek","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23",1037868,"1930",2025-12-11
"AMGN","Amgen","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02",318154,"1980",2025-12-11
"APH","Amphenol","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30",820313,"1932",2025-12-11
"ADI","Analog Devices","Information Technology","Semiconductors","Wilmington, Massachusetts","1999-10-12",6281,"1965",2025-12-11
"AON","Aon plc","Financials","Insurance Brokers","London, United Kingdom","1996-04-23",315293,"1982 (1919)",2025-12-11
"APA","APA Corporation","Energy","Oil & Gas Exploration & Production","Houston, Texas","1997-07-28",1841666,"1954",2025-12-11
"APO","Apollo Global Management","Financials","Asset Management & Custody Banks","New York City, New York","2024-12-23",1858681,"1990",2025-12-11
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","1982-11-30",320193,"1977",2025-12-11
"AMAT","Applied Materials","Information Technology","Semiconductor Materials & Equipment","Santa Clara, California","1995-03-16",6951,"1967",2025-12-11
"APP","AppLovin","Information Technology","Application Software","Palo Alto, California","2025-09-22",1751008,"2012",2025-12-11
"APTV","Aptiv","Consumer Discretionary","Automotive Parts & Equipment","Dublin, Ireland","2012-12-24",1521332,"1994",2025-12-11
"ACGL","Arch Capital Group","Financials","Property & Casualty Insurance","Hamilton, Bermuda","2022-11-01",947484,"1995",2025-12-11
"ADM","Archer Daniels Midland","Consumer Staples","Agricultural Products & Services","Chicago, Illinois","1957-03-04",7084,"1902",2025-12-11
"ANET","Arista Networks","Information Technology","Communications Equipment","Santa Clara, California","2018-08-28",1596532,"2004",2025-12-11
"AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","Rolling Meadows, Illinois","2016-05-31",354190,"1927",2025-12-11
"AIZ","Assurant","Financials","Multi-line Insurance","Atlanta, Georgia","2007-04-10",1267238,"1892",2025-12-11
"T","AT&T","Communication Services","Integrated Telecommunication Services","Dallas, Texas","1983-11-30",732717,"1983 (1885)",2025-12-11
"ATO","Atmos Energy","Utilities","Gas Utilities","Dallas, Texas","2019-02-15",731802,"1906",2025-12-11
"ADSK","Autodesk","Information Technology","Application Software","San Francisco, California","1989-12-01",769397,"1982",2025-12-11
"ADP","Automatic Data Processing","Industrials","Human Resource & Employment Services","Roseland, New Jersey","1981-03-31",8670,"1949",2025-12-11
"AZO","AutoZone","Consumer Discretionary","Automotive Retail","Memphis, Tennessee","1997-01-02",866787,"1979",2025-12-11
"AVB","AvalonBay Communities","Real Estate","Multi-Family Residential REITs","Arlington, Virginia","2007-01-10",915912,"1978",2025-12-11
"AVY","Avery Dennison","Materials","Paper & Plastic Packaging Products & Materials","Mentor, Ohio","1987-12-31",8818,"1935",2025-12-11
"AXON","Axon Enterprise","Industrials","Aerospace & Defense","Scottsdale, Arizona","2023-05-04",1069183,"1993",2025-12-11
"BKR","Baker Hughes","Energy","Oil & Gas Equipment & Services","Houston, Texas","2017-07-07",1701605,"2017",2025-12-11
"BALL","Ball Corporation","Materials","Metal, Glass & Plastic Containers","Broomfield, Colorado","1984-10-31",9389,"1880",2025-12-11
"BAC","Bank of America","Financials","Diversified Banks","Charlotte, North Carolina","1976-06-30",70858,"1998 (1923 / 1874)",2025-12-11
"BAX","Baxter International","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30",10456,"1931",2025-12-11
"BDX","Becton Dickinson","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30",10795,"1897",2025-12-11
"BRK.B","Berkshire Hathaway","Financials","Multi-Sector Holdings","Omaha, Nebraska","2010-02-16",1067983,"1839",2025-12-11
"BBY","Best Buy","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","1999-06-29",764478,"1966",2025-12-11
"TECH","Bio-Techne","Health Care","Life Sciences Tools & Services","Minneapolis, Minnesota","2021-08-30",842023,"1976",2025-12-11
"BIIB","Biogen","Health Care","Biotechnology","Cambridge, Massachusetts","2003-11-13",875045,"1978",2025-12-11
"BLK","BlackRock","Financials","Asset Management & Custody Banks","New York City, New York","2011-04-04",2012383,"1988",2025-12-11
"BX","Blackstone Inc.","Financials","Asset Management & Custody Banks","New York City, New York","2023-09-18",1393818,"1985",2025-12-11
"XYZ","Block, Inc.","Financials","Transaction & Payment Processing Services","none","2025-07-23",1512673,"2009",2025-12-11
"BK","BNY Mellon","Financials","Asset Management & Custody Banks","New York City, New York","1995-03-31",1390777,"1784",2025-12-11
"BA","Boeing","Industrials","Aerospace & Defense","Arlington, Virginia","1957-03-04",12927,"1916",2025-12-11
"BKNG","Booking Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Norwalk, Connecticut","2009-11-06",1075531,"1996",2025-12-11
"BSX","Boston Scientific","Health Care","Health Care Equipment","Marlborough, Massachusetts","1995-02-24",885725,"1979",2025-12-11
"BMY","Bristol Myers Squibb","Health Care","Pharmaceuticals","New York City, New York","1957-03-04",14272,"1989 (1887)",2025-12-11
"AVGO","Broadcom","Information Technology","Semiconductors","Palo Alto, California","2014-05-08",1730168,"1961",2025-12-11
"BR","Broadridge Financial Solutions","Industrials","Data Processing & Outsourced Services","Lake Success, New York","2018-06-18",1383312,"1962",2025-12-11
"BRO","Brown & Brown","Financials","Insurance Brokers","Daytona Beach, Florida","2021-09-20",79282,"1939",2025-12-11
"BF.B","Brown–Forman","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1982-10-31",14693,"1870",2025-12-11
"BLDR","Builders FirstSource","Industrials","Building Products","Irving, Texas","2023-12-18",1316835,"1998",2025-12-11
"BG","Bunge Global","Consumer Staples","Agricultural Products & Services","Chesterfield, Missouri","2023-03-15",1996862,"1818",2025-12-11
"BXP","BXP, Inc.","Real Estate","Office REITs","Boston, Massachusetts","2006-04-03",1037540,"1970",2025-12-11
"CHRW","C.H. Robinson","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","2007-03-02",1043277,"1905",2025-12-11
"CDNS","Cadence Design Systems","Information Technology","Application Software","San Jose, California","2017-09-18",813672,"1988",2025-12-11
"CPT","Camden Property Trust","Real Estate","Multi-Family Residential REITs","Houston, Texas","2022-04-04",906345,"1981",2025-12-11
"CPB","Campbell's Company (The)","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","1957-03-04",16732,"1869",2025-12-11
"COF","Capital One","Financials","Consumer Finance","Tysons Corner, Virginia","1998-07-01",927628,"1994",2025-12-11
"CAH","Cardinal Health","Health Care","Health Care Distributors","Dublin, Ohio","1997-05-27",721371,"1971",2025-12-11
"CCL","Carnival","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","1998-12-22",815097,"1972",2025-12-11
"CARR","Carrier Global","Industrials","Building Products","Palm Beach Gardens, Florida","2020-04-03",1783180,"2020 (1915, United Technologies spinoff)",2025-12-11
"CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Transportation Equipment","Irving, Texas","1957-03-04",18230,"1925",2025-12-11
"CBOE","Cboe Global Markets","Financials","Financial Exchanges & Data","Chicago, Illinois","2017-03-01",1374310,"1973",2025-12-11
"CBRE","CBRE Group","Real Estate","Real Estate Services","Dallas, Texas","2006-11-10",1138118,"1906",2025-12-11
"CDW","CDW Corporation","Information Technology","Technology Distributors","Vernon Hills, Illinois","2019-09-23",1402057,"1984",2025-12-11
"COR","Cencora","Health Care","Health Care Distributors","Conshohocken, Pennsylvania","2001-08-30",1140859,"1985",2025-12-11
"CNC","Centene Corporation","Health Care","Managed Health Care","St. Louis, Missouri","2016-03-30",1071739,"1984",2025-12-11
"CNP","CenterPoint Energy","Utilities","Multi-Utilities","Houston, Texas","1985-07-31",1130310,"1882",2025-12-11
"CF","CF Industries","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","2008-08-27",1324404,"1946",2025-12-11
"CRL","Charles River Laboratories","Health Care","Life Sciences Tools & Services","Wilmington, Massachusetts","2021-05-14",1100682,"1947",2025-12-11
"SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage","Westlake, Texas","1997-06-02",316709,"1971",2025-12-11
"CHTR","Charter Communications","Communication Services","Cable & Satellite","Stamford, Connecticut","2016-09-08",1091667,"1993",2025-12-11
"CVX","Chevron Corporation","Energy","Integrated Oil & Gas","Houston, Texas","1957-03-04",93410,"1879",2025-12-11
"CMG","Chipotle Mexican Grill","Consumer Discretionary","Restaurants","Newport Beach, California","2011-04-28",1058090,"1993",2025-12-11
"CB","Chubb Limited","Financials","Property & Casualty Insurance","Zurich, Switzerland","2010-07-15",896159,"1985",2025-12-11
"CHD","Church & Dwight","Consumer Staples","Household Products","Ewing, New Jersey","2015-12-29",313927,"1847",2025-12-11
"CI","Cigna","Health Care","Health Care Services","Bloomfield, Connecticut","1976-06-30",1739940,"1982",2025-12-11
"CINF","Cincinnati Financial","Financials","Property & Casualty Insurance","Fairfield, Ohio","1997-12-18",20286,"1950",2025-12-11
"CTAS","Cintas","Industrials","Diversified Support Services","Mason, Ohio","2001-03-01",723254,"1929",2025-12-11
"CSCO","Cisco","Information Technology","Communications Equipment","San Jose, California","1993-12-01",858877,"1984",2025-12-11
"C","Citigroup","Financials","Diversified Banks","New York City, New York","1988-05-31",831001,"1998",2025-12-11
"CFG","Citizens Financial Group","Financials","Regional Banks","Providence, Rhode Island","2016-01-29",759944,"1828",2025-12-11
"CLX","Clorox","Consumer Staples","Household Products","Oakland, California","1969-03-31",21076,"1913",2025-12-11
"CME","CME Group","Financials","Financial Exchanges & Data","Chicago, Illinois","2006-08-11",1156375,"1848",2025-12-11
"CMS","CMS Energy","Utilities","Multi-Utilities","Jackson, Michigan","1957-03-04",811156,"1886",2025-12-11
"KO","Coca-Cola Company (The)","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Atlanta, Georgia","1957-03-04",21344,"1886",2025-12-11
"CTSH","Cognizant","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","2006-11-17",1058290,"1994",2025-12-11
"COIN","Coinbase","Financials","Financial Exchanges & Data","New York City, New York","2025-05-19",1679788,"2012",2025-12-11
"CL","Colgate-Palmolive","Consumer Staples","Household Products","New York City, New York","1957-03-04",21665,"1806",2025-12-11
"CMCSA","Comcast","Communication Services","Cable & Satellite","Philadelphia, Pennsylvania","2002-11-19",1166691,"1963",2025-12-11
"CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1983-08-31",23217,"1919",2025-12-11
"COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","Houston, Texas","1957-03-04",1163165,"2002",2025-12-11
"ED","Consolidated Edison","Utilities","Multi-Utilities","New York City, New York","1957-03-04",1047862,"1823",2025-12-11
"STZ","Constellation Brands","Consumer Staples","Distillers & Vintners","Rochester, New York","2005-07-01",16918,"1945",2025-12-11
"CEG","Constellation Energy","Utilities","Electric Utilities","Baltimore, Maryland","2022-02-02",1868275,"1999",2025-12-11
"COO","Cooper Companies (The)","Health Care","Health Care Supplies","San Ramon, California","2016-09-23",711404,"1958",2025-12-11
"CPRT","Copart","Industrials","Diversified Support Services","Dallas, Texas","2018-07-02",900075,"1982",2025-12-11
"GLW","Corning Inc.","Information Technology","Electronic Components","Corning, New York","1995-02-27",24741,"1851",2025-12-11
"CPAY","Corpay","Financials","Transaction & Payment Processing Services","Atlanta, Georgia","2018-06-20",1175454,"2000",2025-12-11
"CTVA","Corteva","Materials","Fertilizers & Agricultural Chemicals","Indianapolis, Indiana","2019-06-03",1755672,"2019",2025-12-11
"CSGP","CoStar Group","Real Estate","Real Estate Services","Washington, D.C.","2022-09-19",1057352,"1987",2025-12-11
"COST","Costco","Consumer Staples","Consumer Staples Merchandise Retail","Issaquah, Washington","1993-10-01",909832,"1976",2025-12-11
"CTRA","Coterra","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23",858470,"2021 (1989)",2025-12-11
"CRWD","CrowdStrike","Information Technology","Systems Software","Austin, Texas","2024-06-24",1535527,"2011",2025-12-11
"CCI","Crown Castle","Real Estate","Telecom Tower REITs","Houston, Texas","2012-03-14",1051470,"1994",2025-12-11
"CSX","CSX Corporation","Industrials","Rail Transportation","Jacksonville, Florida","1957-03-04",277948,"1980",2025-12-11
"CMI","Cummins","Industrials","Construction Machinery & Heavy Transportation Equipment","Columbus, Indiana","1965-03-31",26172,"1919",2025-12-11
"CVS","CVS Health","Health Care","Health Care Services","Woonsocket, Rhode Island","1957-03-04",64803,"1996",2025-12-11
"DHR","Danaher Corporation","Health Care","Life Sciences Tools & Services","Washington, D.C.","1998-11-18",313616,"1969",2025-12-11
"DRI","Darden Restaurants","Consumer Discretionary","Restaurants","Orlando, Florida","1995-05-31",940944,"1938",2025-12-11
"DDOG","Datadog","Information Technology","Application Software","New York City, New York","2025-07-09",1561550,"2010",2025-12-11
"DVA","DaVita","Health Care","Health Care Services","Denver, Colorado","2008-07-31",927066,"1979",2025-12-11
"DAY","Dayforce","Industrials","Human Resource & Employment Services","Minneapolis, Minnesota","2021-09-20",1725057,"1992",2025-12-11
"DECK","Deckers Brands","Consumer Discretionary","Footwear","Goleta, California","2024-03-18",910521,"1973",2025-12-11
"DE","Deere & Company","Industrials","Agricultural & Farm Machinery","Moline, Illinois","1957-03-04",315189,"1837",2025-12-11
"DELL","Dell Technologies","Information Technology","Technology Hardware, Storage & Peripherals","Round Rock, Texas","2024-09-23",1571996,"2016",2025-12-11
"DAL","Delta Air Lines","Industrials","Passenger Airlines","Atlanta, Georgia","2013-09-11",27904,"1929",2025-12-11
"DVN","Devon Energy","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","2000-08-30",1090012,"1971",2025-12-11
"DXCM","Dexcom","Health Care","Health Care Equipment","San Diego, California","2020-05-12",1093557,"1999",2025-12-11
"FANG","Diamondback Energy","Energy","Oil & Gas Exploration & Production","Midland, Texas","2018-12-03",1539838,"2007",2025-12-11
"DLR","Digital Realty","Real Estate","Data Center REITs","Austin, Texas","2016-05-18",1297996,"2004",2025-12-11
"DG","Dollar General","Consumer Staples","Consumer Staples Merchandise Retail","Goodlettsville, Tennessee","2012-12-03",29534,"1939",2025-12-11
"DLTR","Dollar Tree","Consumer Staples","Consumer Staples Merchandise Retail","Chesapeake, Virginia","2011-12-19",935703,"1986",2025-12-11
"D","Dominion Energy","Utilities","Multi-Utilities","Richmond, Virginia","2016-11-30",715957,"1983",2025-12-11
"DPZ","Domino's","Consumer Discretionary","Restaurants","Ann Arbor, Michigan","2020-05-12",1286681,"1960",2025-12-11
"DASH","DoorDash","Consumer Discretionary","Specialized Consumer Services","San Francisco, California","2025-03-24",1792789,"2012",2025-12-11
"DOV","Dover Corporation","Industrials","Industrial Machinery & Supplies & Components","Downers Grove, Illinois","1985-10-31",29905,"1955",2025-12-11
"DOW","Dow Inc.","Materials","Commodity Chemicals","Midland, Michigan","2019-04-01",1751788,"2019 (1897)",2025-12-11
"DHI","D. R. Horton","Consumer Discretionary","Homebuilding","Arlington, Texas","2005-06-22",882184,"1978",2025-12-11
"DTE","DTE Energy","Utilities","Multi-Utilities","Detroit, Michigan","1957-03-04",936340,"1995",2025-12-11
"DUK","Duke Energy","Utilities","Electric Utilities","Charlotte, North Carolina","1976-06-30",1326160,"1904",2025-12-11
"DD","DuPont","Materials","Specialty Chemicals","Wilmington, Delaware","2019-06-03",1666700,"2017 (1802)",2025-12-11
"ETN","Eaton Corporation","Industrials","Electrical Components & Equipment","Dublin, Ireland","1957-03-04",1551182,"1911",2025-12-11
"EBAY","eBay Inc.","Consumer Discretionary","Broadline Retail","San Jose, California","2002-07-22",1065088,"1995",2025-12-11
"ECL","Ecolab","Materials","Specialty Chemicals","Saint Paul, Minnesota","1989-01-31",31462,"1923",2025-12-11
"EIX","Edison International","Utilities","Electric Utilities","Rosemead, California","1957-03-04",827052,"1886",2025-12-11
"EW","Edwards Lifesciences","Health Care","Health Care Equipment","Irvine, California","2011-04-01",1099800,"1958",2025-12-11
"EA","Electronic Arts","Communication Services","Interactive Home Entertainment","Redwood City, California","2002-07-22",712515,"1982",2025-12-11
"ELV","Elevance Health","Health Care","Managed Health Care","Indianapolis, Indiana","2002-07-25",1156039,"2014 (1946)",2025-12-11
"EME","Emcor","Industrials","Construction & Engineering","Norwalk, Connecticut","2025-09-22",105634,"1994",2025-12-11
"EMR","Emerson Electric","Industrials","Electrical Components & Equipment","Ferguson, Missouri","1965-03-31",32604,"1890",2025-12-11
"ETR","Entergy","Utilities","Electric Utilities","New Orleans, Louisiana","1957-03-04",65984,"1913",2025-12-11
"EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","Houston, Texas","2000-11-02",821189,"1999",2025-12-11
"EPAM","EPAM Systems","Information Technology","IT Consulting & Other Services","Newtown, Pennsylvania","2021-12-14",1352010,"1993",2025-12-11
"EQT","EQT Corporation","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","2022-10-03",33213,"1888",2025-12-11
"EFX","Equifax","Industrials","Research & Consulting Services","Atlanta, Georgia","1997-06-19",33185,"1899",2025-12-11
"EQIX","Equinix","Real Estate","Data Center REITs","Redwood City, California","2015-03-20",1101239,"1998",2025-12-11
"EQR","Equity Residential","Real Estate","Multi-Family Residential REITs","Chicago, Illinois","2001-12-03",906107,"1969",2025-12-11
"ERIE","Erie Indemnity","Financials","Insurance Brokers","Erie, Pennsylvania","2024-09-23",922621,"1925",2025-12-11
"ESS","Essex Property Trust","Real Estate","Multi-Family Residential REITs","San Mateo, California","2014-04-02",920522,"1971",2025-12-11
"EL","Estée Lauder Companies (The)","Consumer Staples","Personal Care Products","New York City, New York","2006-01-05",1001250,"1946",2025-12-11
"EG","Everest Group","Financials","Reinsurance","Hamilton, Bermuda","2017-06-19",1095073,"1973",2025-12-11
"EVRG","Evergy","Utilities","Electric Utilities","Kansas City, Missouri","2018-06-05",1711269,"1909",2025-12-11
"ES","Eversource Energy","Utilities","Electric Utilities","Hartford, Connecticut","2009-07-24",72741,"1966",2025-12-11
"EXC","Exelon","Utilities","Electric Utilities","Chicago, Illinois","1957-03-04",1109357,"2000",2025-12-11
"EXE","Expand Energy","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","2025-03-24",895126,"1989",2025-12-11
"EXPE","Expedia Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Seattle, Washington","2007-10-02",1324424,"1996",2025-12-11
"EXPD","Expeditors International","Industrials","Air Freight & Logistics","Seattle, Washington","2007-10-10",746515,"1979",2025-12-11
"EXR","Extra Space Storage","Real Estate","Self-Storage REITs","Salt Lake City, Utah","2016-01-19",1289490,"1977",2025-12-11
"XOM","ExxonMobil","Energy","Integrated Oil & Gas","Irving, Texas","1957-03-04",34088,"1999",2025-12-11
"FFIV","F5, Inc.","Information Technology","Communications Equipment","Seattle, Washington","2010-12-20",1048695,"1996",2025-12-11
"FDS","FactSet","Financials","Financial Exchanges & Data","Norwalk, Connecticut","2021-12-20",1013237,"1978",2025-12-11
"FICO","Fair Isaac","Information Technology","Application Software","Bozeman, Montana","2023-03-20",814547,"1956",2025-12-11
"FAST","Fastenal","Industrials","Trading Companies & Distributors","Winona, Minnesota","2008-09-15",815556,"1967",2025-12-11
"FRT","Federal Realty Investment Trust","Real Estate","Retail REITs","Rockville, Maryland","2016-02-01",34903,"1962",2025-12-11
"FDX","FedEx","Industrials","Air Freight & Logistics","Memphis, Tennessee","1980-12-31",1048911,"1971",2025-12-11
"FIS","Fidelity National Information Services","Financials","Transaction & Payment Processing Services","Jacksonville, Florida","2006-11-10",1136893,"1968",2025-12-11
"FITB","Fifth Third Bancorp","Financials","Regional Banks","Cincinnati, Ohio","1996-03-29",35527,"1858",2025-12-11
"FSLR","First Solar","Information Technology","Semiconductors","Tempe, Arizona","2022-12-19",1274494,"1999",2025-12-11
"FE","FirstEnergy","Utilities","Electric Utilities","Akron, Ohio","1997-11-28",1031296,"1997",2025-12-11
"FISV","Fiserv","Financials","Transaction & Payment Processing Services","Brookfield, Wisconsin","2001-04-02",798354,"1984",2025-12-11
"F","Ford Motor Company","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan","1957-03-04",37996,"1903",2025-12-11
"FTNT","Fortinet","Information Technology","Systems Software","Sunnyvale, California","2018-10-11",1262039,"2000",2025-12-11
"FTV","Fortive","Industrials","Industrial Machinery & Supplies & Components","Everett, Washington","2016-07-01",1659166,"2016",2025-12-11
"FOXA","Fox Corporation (Class A)","Communication Services","Broadcasting","New York City, New York","2019-03-19",1754301,"2019",2025-12-11
"FOX","Fox Corporation (Class B)","Communication Services","Broadcasting","New York City, New York","2019-03-19",1754301,"2019",2025-12-11
"BEN","Franklin Resources","Financials","Asset Management & Custody Banks","San Mateo, California","1998-04-30",38777,"1947",2025-12-11
"FCX","Freeport-McMoRan","Materials","Copper","Phoenix, Arizona","2011-07-01",831259,"1912",2025-12-11
"GRMN","Garmin","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","2012-12-12",1121788,"1989",2025-12-11
"IT","Gartner","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","2017-04-05",749251,"1979",2025-12-11
"GE","GE Aerospace","Industrials","Aerospace & Defense","Evendale, Ohio","1957-03-04",40545,"1892",2025-12-11
"GEHC","GE HealthCare","Health Care","Health Care Equipment","Chicago, Illinois","2023-01-04",1932393,"1994",2025-12-11
"GEV","GE Vernova","Industrials","Heavy Electrical Equipment","Cambridge, Massachusetts","2024-04-02",1996810,"2024",2025-12-11
"GEN","Gen Digital","Information Technology","Systems Software","Tempe, Arizona","2003-03-25",849399,"1982",2025-12-11
"GNRC","Generac","Industrials","Electrical Components & Equipment","Waukesha, Wisconsin","2021-03-22",1474735,"1959",2025-12-11
"GD","General Dynamics","Industrials","Aerospace & Defense","Reston, Virginia","1957-03-04",40533,"1899",2025-12-11
"GIS","General Mills","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1957-03-04",40704,"1856",2025-12-11
"GM","General Motors","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","2013-06-06",1467858,"1908",2025-12-11
"GPC","Genuine Parts Company","Consumer Discretionary","Distributors","Atlanta, Georgia","1973-12-31",40987,"1925",2025-12-11
"GILD","Gilead Sciences","Health Care","Biotechnology","Foster City, California","2004-07-01",882095,"1987",2025-12-11
"GPN","Global Payments","Financials","Transaction & Payment Processing Services","Atlanta, Georgia","2016-04-25",1123360,"2000",2025-12-11
"GL","Globe Life","Financials","Life & Health Insurance","McKinney, Texas","1989-04-30",320335,"1900",2025-12-11
"GDDY","GoDaddy","Information Technology","Internet Services & Infrastructure","Tempe, Arizona","2024-06-24",1609711,"1997",2025-12-11
"GS","Goldman Sachs","Financials","Investment Banking & Brokerage","New York City, New York","2002-07-22",886982,"1869",2025-12-11
"HAL","Halliburton","Energy","Oil & Gas Equipment & Services","Houston, Texas","1957-03-04",45012,"1919",2025-12-11
"HIG","Hartford (The)","Financials","Property & Casualty Insurance","Hartford, Connecticut","1957-03-04",874766,"1810",2025-12-11
"HAS","Hasbro","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1984-09-30",46080,"1923",2025-12-11
"HCA","HCA Healthcare","Health Care","Health Care Facilities","Nashville, Tennessee","2015-01-27",860730,"1968",2025-12-11
"DOC","Healthpeak Properties","Real Estate","Health Care REITs","Denver, Colorado","2008-03-31",765880,"1985",2025-12-11
"HSIC","Henry Schein","Health Care","Health Care Distributors","Melville, New York","2015-03-17",1000228,"1932",2025-12-11
"HSY","Hershey Company (The)","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","1957-03-04",47111,"1894",2025-12-11
"HPE","Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals","Houston, Texas","2015-11-02",1645590,"2015",2025-12-11
